epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68118,2.25329,3.44109,3.09048,0.7302,0.13636,0.16731,0.05603,2.08762,3.19818,2.98708,0.000533333,0.000533333,0.000533333
2,13.7563,2.33567,3.49293,3.14543,0.72468,0.13636,0.18083,0.06335,2.10965,3.13776,3.04196,0.00118515,0.00118515,0.00118515
3,20.1103,2.30769,3.46991,2.98304,0.79837,0.18033,0.20458,0.0722,2.11703,3.1108,3.09096,0.00182047,0.00182047,0.00182047
4,27.1327,2.23582,3.31015,3.08471,0.76909,0.18182,0.20884,0.0684,2.13762,3.0321,3.12844,0.00192575,0.00192575,0.00192575
5,41.7014,2.30298,3.48494,3.2048,0.7689,0.18182,0.20883,0.0684,2.14182,3.03572,3.12388,0.001901,0.001901,0.001901
6,49.6145,2.28749,3.46383,3.06719,0.6195,0.18182,0.21674,0.07412,2.13439,2.99639,3.17161,0.00187625,0.00187625,0.00187625
7,65.471,2.25,3.47506,3.01751,0.62034,0.18182,0.21667,0.074,2.13423,2.99687,3.17206,0.0018515,0.0018515,0.0018515
8,75.0269,2.34026,3.38633,3.09326,0.34283,0.27273,0.20218,0.06775,2.14234,2.92073,3.19923,0.00182675,0.00182675,0.00182675
9,90.5891,2.30876,3.36599,3.23157,0.34081,0.27273,0.20129,0.06783,2.14184,2.92565,3.19778,0.001802,0.001802,0.001802
10,108.81,2.32869,3.33983,3.07332,0.34081,0.27273,0.20129,0.06783,2.14184,2.92565,3.19778,0.00177725,0.00177725,0.00177725
11,117.937,2.29665,3.36966,3.12748,0.2963,0.27273,0.21076,0.06402,2.17386,2.89287,3.18216,0.0017525,0.0017525,0.0017525
12,133.772,2.30518,3.36453,3.14352,0.30147,0.27273,0.21089,0.0641,2.17326,2.89415,3.18364,0.00172775,0.00172775,0.00172775
13,145.815,2.28187,3.39822,3.13491,0.30147,0.27273,0.21089,0.0641,2.17326,2.89415,3.18364,0.001703,0.001703,0.001703
14,156.948,2.23185,3.33554,2.95798,0.30147,0.27273,0.21089,0.0641,2.17326,2.89415,3.18364,0.00167825,0.00167825,0.00167825
15,162.589,2.34447,3.56635,3.1927,0.47086,0.22727,0.24697,0.07153,2.23842,2.86188,3.22206,0.0016535,0.0016535,0.0016535
16,174.741,2.31021,3.24093,3.10082,0.48669,0.22727,0.24707,0.07554,2.24561,2.85059,3.22842,0.00162875,0.00162875,0.00162875
17,187.127,2.28673,3.3596,3.06221,0.48669,0.22727,0.24707,0.07554,2.24561,2.85059,3.22842,0.001604,0.001604,0.001604
18,199.781,2.28994,3.47844,2.85471,0.48669,0.22727,0.24707,0.07554,2.24561,2.85059,3.22842,0.00157925,0.00157925,0.00157925
19,206.805,2.25611,3.4408,3.04001,0.47885,0.22727,0.2919,0.083,2.26254,2.82742,3.20862,0.0015545,0.0015545,0.0015545
20,220.094,2.28933,3.31271,3.07651,0.47778,0.22727,0.29153,0.08293,2.26609,2.82113,3.21326,0.00152975,0.00152975,0.00152975
21,234.242,2.24024,3.30675,2.95292,0.47778,0.22727,0.29153,0.08293,2.26609,2.82113,3.21326,0.001505,0.001505,0.001505
22,248.111,2.28657,3.33186,3.1347,0.47778,0.22727,0.29153,0.08293,2.26609,2.82113,3.21326,0.00148025,0.00148025,0.00148025
23,254.976,2.34347,3.41593,3.1303,0.52754,0.22727,0.30025,0.08689,2.24535,2.8517,3.18836,0.0014555,0.0014555,0.0014555
24,281.841,2.22434,3.41556,2.92093,0.52518,0.22727,0.30022,0.08689,2.24526,2.85239,3.18799,0.00143075,0.00143075,0.00143075
25,300.388,2.37982,3.39248,3.20917,0.52518,0.22727,0.30022,0.08689,2.24526,2.85239,3.18799,0.001406,0.001406,0.001406
26,318.325,2.34937,3.65993,3.08066,0.52518,0.22727,0.30022,0.08689,2.24526,2.85239,3.18799,0.00138125,0.00138125,0.00138125
27,327.565,2.53547,6.86258,3.07908,0.00176,0.5,0.00095,0.00021,3.22342,1813.49,13.9728,0.0013565,0.0013565,0.0013565
28,350.667,2.97787,12.123,3.10752,0.00176,0.5,0.00095,0.0002,3.21528,1818.06,13.8704,0.00133175,0.00133175,0.00133175
29,370.377,2.90053,12.1359,2.98304,0.00176,0.5,0.00095,0.0002,3.21528,1818.06,13.8704,0.001307,0.001307,0.001307
30,393.787,2.83168,12.5624,2.97608,0.00176,0.5,0.00095,0.0002,3.21528,1818.06,13.8704,0.00128225,0.00128225,0.00128225
31,411.118,2.94517,12.52,3.0436,0.00176,0.5,0.00095,0.0002,3.21528,1818.06,13.8704,0.0012575,0.0012575,0.0012575
