epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.18831,1.92423,3.10492,2.12502,0.00857,0.96774,0.48693,0.15186,1.55611,2.65929,1.71462,0.000592593,0.000592593,0.000592593
2,3.79562,1.45123,2.48529,1.63261,0.00876,0.98925,0.32642,0.14618,1.55467,2.6565,1.97786,0.00124368,0.00124368,0.00124368
3,5.21143,1.36561,1.89819,1.58167,0.39512,0.2043,0.21122,0.08567,2.09847,2.53025,4.80914,0.00187826,0.00187826,0.00187826
4,6.67528,1.22284,1.60799,1.48485,0.02899,0.12903,0.02138,0.00497,2.83657,3.29223,13.5261,0.00192575,0.00192575,0.00192575
5,8.09389,1.15007,1.5137,1.40612,0.08045,0.23656,0.0373,0.00778,2.68673,2.93165,6.8258,0.001901,0.001901,0.001901
6,9.57703,1.09264,1.35362,1.33138,0.65291,0.33333,0.45194,0.17766,2.16663,2.47312,3.39735,0.00187625,0.00187625,0.00187625
7,10.9836,1.01968,1.18678,1.28597,0.80291,0.26292,0.53423,0.15764,1.96847,2.36701,4.16942,0.0018515,0.0018515,0.0018515
8,12.4001,1.0059,1.13086,1.23981,0.79099,0.36626,0.69894,0.37158,1.42603,2.03507,2.02635,0.00182675,0.00182675,0.00182675
9,13.8146,0.97655,1.08061,1.16224,0.80881,0.63685,0.78577,0.48249,1.01333,1.63856,1.4154,0.001802,0.001802,0.001802
10,15.301,0.9363,1.02445,1.1626,0.91235,0.74194,0.91042,0.67514,0.97662,1.39981,1.35749,0.00177725,0.00177725,0.00177725
11,16.7092,0.87109,0.93957,1.14195,0.89637,0.7957,0.91369,0.66348,0.87808,1.09112,1.36291,0.0017525,0.0017525,0.0017525
12,18.077,0.89136,0.8841,1.13167,0.87559,0.90812,0.94711,0.63366,0.99851,1.12022,1.59362,0.00172775,0.00172775,0.00172775
13,19.5311,0.85518,0.85072,1.11498,0.8449,0.87863,0.93372,0.60683,0.90636,1.05591,1.35672,0.001703,0.001703,0.001703
14,20.9657,0.85408,0.82155,1.14733,0.89134,0.90323,0.9481,0.64248,0.84066,0.92574,1.20953,0.00167825,0.00167825,0.00167825
15,22.3687,0.82001,0.79821,1.09802,0.87972,0.94624,0.95462,0.71324,0.79781,0.92111,1.18326,0.0016535,0.0016535,0.0016535
16,23.7855,0.7881,0.74541,1.06925,0.94309,0.93548,0.97264,0.73154,0.75167,0.85927,1.1329,0.00162875,0.00162875,0.00162875
17,25.2206,0.73381,0.69754,1.06098,0.9665,0.93066,0.973,0.73269,0.75739,0.77255,1.0896,0.001604,0.001604,0.001604
18,26.6625,0.79063,0.70721,1.06149,0.94818,0.98379,0.98577,0.71612,0.72722,0.68396,1.09273,0.00157925,0.00157925,0.00157925
19,28.0926,0.77516,0.68856,1.05795,0.93489,0.92639,0.9774,0.7049,0.81216,0.68338,1.16155,0.0015545,0.0015545,0.0015545
20,29.5129,0.74612,0.64711,1.04535,0.94771,0.97453,0.97391,0.70333,0.73953,0.68297,1.08152,0.00152975,0.00152975,0.00152975
21,30.9499,0.72405,0.6294,1.02852,0.95721,0.96209,0.97661,0.72324,0.77467,0.65122,1.10975,0.001505,0.001505,0.001505
22,32.3628,0.76212,0.6238,1.04075,0.9984,0.97849,0.99468,0.75395,0.7207,0.55179,1.06137,0.00148025,0.00148025,0.00148025
23,33.7672,0.7413,0.59648,1.02514,1,0.98821,0.99469,0.75561,0.70885,0.53378,1.04791,0.0014555,0.0014555,0.0014555
24,35.1689,0.71032,0.58592,1.01423,1,0.96609,0.99323,0.76609,0.70392,0.52321,1.04276,0.00143075,0.00143075,0.00143075
25,36.6096,0.74678,0.59452,1.04133,0.99252,0.97849,0.99392,0.78192,0.68774,0.52523,1.02361,0.001406,0.001406,0.001406
26,38.055,0.70577,0.56416,1.02023,0.98687,0.98925,0.99416,0.781,0.67407,0.48095,0.99315,0.00138125,0.00138125,0.00138125
27,39.439,0.67352,0.5382,1.00097,0.98808,0.98925,0.99394,0.78292,0.6695,0.49499,0.99299,0.0013565,0.0013565,0.0013565
28,40.8615,0.69241,0.52528,1.01582,0.96753,0.98925,0.98413,0.74019,0.69087,0.50916,1.00976,0.00133175,0.00133175,0.00133175
29,42.2276,0.69325,0.5287,1.00788,0.95297,0.98925,0.9653,0.72625,0.64764,0.54641,1.0031,0.001307,0.001307,0.001307
30,43.6427,0.68696,0.52786,1.02267,0.97651,0.98925,0.99315,0.7584,0.70059,0.50836,1.02334,0.00128225,0.00128225,0.00128225
31,45.0573,0.67089,0.52601,0.98471,0.97712,0.98925,0.99361,0.77732,0.69983,0.47077,1.02202,0.0012575,0.0012575,0.0012575
32,46.4438,0.66539,0.50716,0.99725,0.99358,0.98925,0.99479,0.7799,0.67152,0.45543,1.0192,0.00123275,0.00123275,0.00123275
33,47.8598,0.67067,0.50313,0.98943,0.99779,1,0.995,0.78636,0.6363,0.45058,0.98694,0.001208,0.001208,0.001208
34,49.2584,0.66661,0.49968,0.96848,0.98923,0.98738,0.99437,0.76494,0.68547,0.4582,1.02566,0.00118325,0.00118325,0.00118325
35,50.6811,0.62785,0.47109,0.96024,0.98456,0.97849,0.99396,0.7734,0.68419,0.45384,1.02425,0.0011585,0.0011585,0.0011585
36,52.0604,0.64857,0.47831,0.96373,0.95548,1,0.99363,0.78994,0.72442,0.44387,1.03854,0.00113375,0.00113375,0.00113375
37,53.5086,0.6463,0.4721,0.98984,0.99832,1,0.995,0.79367,0.70626,0.44022,1.03511,0.001109,0.001109,0.001109
38,54.9592,0.6244,0.46603,0.96498,0.99604,0.98925,0.99449,0.7773,0.65837,0.40055,1.0012,0.00108425,0.00108425,0.00108425
39,56.3538,0.60867,0.46149,0.95876,0.98881,0.98925,0.99438,0.77098,0.67538,0.4223,1.01879,0.0010595,0.0010595,0.0010595
40,57.7346,0.60775,0.43627,0.96666,0.998,0.98925,0.99489,0.77904,0.7148,0.40754,1.03074,0.00103475,0.00103475,0.00103475
41,59.1546,0.60736,0.43052,0.95663,1,0.97554,0.99447,0.79045,0.64341,0.41222,1.00095,0.00101,0.00101,0.00101
42,60.5873,0.59597,0.42706,0.94808,0.97893,1,0.99447,0.78267,0.63293,0.43037,1.00046,0.00098525,0.00098525,0.00098525
43,62.0595,0.59615,0.43988,0.93768,0.98935,0.99926,0.99489,0.78543,0.65563,0.41471,1.00174,0.0009605,0.0009605,0.0009605
44,63.4745,0.57681,0.42276,0.95284,0.99819,0.98925,0.99489,0.79058,0.62572,0.40062,0.98126,0.00093575,0.00093575,0.00093575
45,64.8937,0.58175,0.41692,0.9392,0.98934,0.99829,0.99457,0.81792,0.6677,0.40894,1.00938,0.000911,0.000911,0.000911
46,66.3197,0.59858,0.41778,0.94823,0.9988,1,0.995,0.80158,0.65388,0.40337,1.0021,0.00088625,0.00088625,0.00088625
47,67.7419,0.58768,0.415,0.94674,0.99536,1,0.995,0.80684,0.6362,0.39411,0.98259,0.0008615,0.0008615,0.0008615
48,69.1322,0.56761,0.41942,0.93259,0.99856,0.98925,0.99469,0.81649,0.64855,0.38144,0.97159,0.00083675,0.00083675,0.00083675
49,70.5312,0.5662,0.4065,0.91894,0.99826,0.98925,0.99459,0.82091,0.62575,0.37656,0.97799,0.000812,0.000812,0.000812
50,71.9482,0.56191,0.38954,0.93523,0.97558,0.98925,0.99416,0.81936,0.57456,0.35004,0.95619,0.00078725,0.00078725,0.00078725
51,73.422,0.55088,0.38563,0.92826,0.98924,0.98827,0.99427,0.79968,0.61845,0.36336,0.96163,0.0007625,0.0007625,0.0007625
52,74.8397,0.55051,0.37977,0.92433,0.9968,0.97849,0.99458,0.81176,0.60174,0.3513,0.9564,0.00073775,0.00073775,0.00073775
53,76.2387,0.5516,0.38282,0.92338,0.98924,0.98902,0.99386,0.83563,0.56674,0.35874,0.93987,0.000713,0.000713,0.000713
54,77.6705,0.54135,0.37976,0.90603,0.99803,1,0.995,0.82577,0.57901,0.35806,0.94779,0.00068825,0.00068825,0.00068825
55,79.1291,0.52388,0.36379,0.91208,1,0.98785,0.99469,0.83345,0.60968,0.34487,0.96587,0.0006635,0.0006635,0.0006635
56,80.5543,0.55379,0.36917,0.92685,0.98906,0.98925,0.99436,0.83676,0.5721,0.34124,0.94662,0.00063875,0.00063875,0.00063875
57,81.9903,0.54126,0.36914,0.92032,0.98819,1,0.99447,0.83003,0.56865,0.34037,0.9408,0.000614,0.000614,0.000614
58,83.4271,0.51523,0.36057,0.90732,0.99976,0.98925,0.99479,0.83228,0.56931,0.33619,0.94154,0.00058925,0.00058925,0.00058925
59,84.8165,0.52727,0.3611,0.92025,1,0.99795,0.995,0.84133,0.56827,0.31653,0.94137,0.0005645,0.0005645,0.0005645
60,86.2557,0.511,0.35437,0.90805,1,0.99917,0.995,0.84096,0.55212,0.3211,0.9416,0.00053975,0.00053975,0.00053975
61,87.6811,0.5051,0.35795,0.91095,0.97813,1,0.99437,0.82812,0.57462,0.32751,0.96175,0.000515,0.000515,0.000515
62,89.124,0.49625,0.35024,0.91479,0.99693,0.98925,0.99449,0.82841,0.59979,0.34052,0.9637,0.00049025,0.00049025,0.00049025
63,90.5405,0.49176,0.34992,0.90563,0.99897,0.98925,0.99449,0.81412,0.61221,0.34335,0.95626,0.0004655,0.0004655,0.0004655
64,91.9557,0.48534,0.34413,0.90075,0.99857,0.98925,0.99479,0.83184,0.59306,0.33581,0.94508,0.00044075,0.00044075,0.00044075
65,93.4341,0.4822,0.33574,0.88945,1,0.99929,0.995,0.83817,0.56445,0.32891,0.93458,0.000416,0.000416,0.000416
66,94.8591,0.48659,0.34076,0.90466,1,0.99737,0.995,0.8278,0.54142,0.32953,0.92511,0.00039125,0.00039125,0.00039125
67,96.3071,0.47821,0.33345,0.89137,1,0.98785,0.99479,0.82491,0.53835,0.32422,0.92669,0.0003665,0.0003665,0.0003665
68,97.6942,0.47946,0.33894,0.8803,0.97876,1,0.99425,0.83094,0.54166,0.32053,0.93328,0.00034175,0.00034175,0.00034175
69,99.1011,0.47802,0.33085,0.88795,0.97863,1,0.99425,0.8376,0.55645,0.33324,0.94371,0.000317,0.000317,0.000317
70,100.504,0.4837,0.33223,0.90094,1,0.99835,0.995,0.83953,0.56141,0.355,0.94478,0.00029225,0.00029225,0.00029225
71,116.483,0.46696,0.33289,0.86915,1,0.99873,0.995,0.84129,0.56226,0.34616,0.94281,0.0002675,0.0002675,0.0002675
72,117.911,0.47106,0.32679,0.88807,0.98819,0.98925,0.99468,0.84291,0.56801,0.33668,0.94094,0.00024275,0.00024275,0.00024275
73,119.372,0.459,0.32708,0.9028,0.98935,0.99913,0.99457,0.84489,0.56126,0.32695,0.93616,0.000218,0.000218,0.000218
74,120.844,0.43689,0.31875,0.88713,0.98844,1,0.99479,0.85472,0.53163,0.30789,0.92506,0.00019325,0.00019325,0.00019325
75,122.277,0.46646,0.32348,0.88983,0.98865,1,0.99479,0.85574,0.51823,0.30079,0.92218,0.0001685,0.0001685,0.0001685
76,123.724,0.44581,0.30515,0.87881,0.98934,0.99801,0.99479,0.84943,0.52462,0.30551,0.92653,0.00014375,0.00014375,0.00014375
77,125.115,0.43484,0.3083,0.8715,0.98876,1,0.99479,0.85169,0.5369,0.30899,0.9316,0.000119,0.000119,0.000119
78,126.567,0.43798,0.30976,0.87936,0.99927,1,0.995,0.84644,0.54227,0.30722,0.92898,9.425e-05,9.425e-05,9.425e-05
79,128.017,0.44035,0.31082,0.87257,0.99904,1,0.995,0.84855,0.54088,0.306,0.92591,6.95e-05,6.95e-05,6.95e-05
80,129.789,0.44359,0.30708,0.8743,0.99881,1,0.995,0.84502,0.5379,0.30666,0.9239,4.475e-05,4.475e-05,4.475e-05
