epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30898,1.47063,3.43546,1.68361,0.00956,1,0.3378,0.17547,1.10558,3.10973,1.34742,0.000515976,0.000515976,0.000515976
2,9.5133,1.18758,2.28744,1.43553,0.00793,1,0.23001,0.1029,1.2844,3.21091,1.60296,0.00105838,0.00105838,0.00105838
3,11.715,1.09287,1.79857,1.34305,0.00633,0.97849,0.17446,0.07512,1.67434,3.38621,2.44865,0.00158703,0.00158703,0.00158703
4,13.8901,1.11737,1.63016,1.32359,0.67426,0.11828,0.13786,0.04536,1.54119,3.34653,2.02126,0.00160511,0.00160511,0.00160511
5,16.0414,1.06464,1.43512,1.25649,0.47265,0.20674,0.14385,0.07234,1.51608,3.11912,1.87736,0.00158448,0.00158448,0.00158448
6,18.309,0.99989,1.31984,1.19781,0.54004,0.42458,0.46191,0.21728,1.44489,2.63932,1.85134,0.00156385,0.00156385,0.00156385
7,20.6128,0.95248,1.23166,1.18163,0.59604,0.25908,0.31527,0.15931,1.78224,3.28295,2.13656,0.00154323,0.00154323,0.00154323
8,22.8062,0.89104,1.13193,1.13287,0.22736,0.43689,0.27034,0.13042,1.66459,3.25449,1.94261,0.0015226,0.0015226,0.0015226
9,25.037,0.93287,1.05966,1.14236,0.47963,0.69038,0.63211,0.38214,1.40256,1.85375,1.59818,0.00150197,0.00150197,0.00150197
10,27.2713,0.87714,0.97133,1.12463,0.90265,0.89881,0.90844,0.70397,0.89352,1.27305,1.16647,0.00148134,0.00148134,0.00148134
11,29.5281,0.86718,0.91941,1.09947,0.93998,0.92766,0.92558,0.70424,0.82465,1.19665,1.13713,0.00146071,0.00146071,0.00146071
12,31.7127,0.81035,0.86307,1.08817,0.93915,0.92229,0.96918,0.70553,0.9092,0.99568,1.14303,0.00144008,0.00144008,0.00144008
13,34.0329,0.81594,0.88585,1.09137,0.86826,0.87665,0.88456,0.59422,1.06986,1.03819,1.23915,0.00141945,0.00141945,0.00141945
14,36.3769,0.83437,0.82848,1.08427,0.67539,0.7935,0.83428,0.54108,1.01256,1.52618,1.27062,0.00139882,0.00139882,0.00139882
15,38.6092,0.78129,0.76999,1.04577,0.78873,0.92442,0.92617,0.66508,1.00264,1.1383,1.23829,0.00137819,0.00137819,0.00137819
16,40.8432,0.82576,0.76055,1.07731,0.91302,0.95869,0.98257,0.74724,0.83941,0.8805,1.1281,0.00135756,0.00135756,0.00135756
17,43.0805,0.77815,0.72331,1.05675,0.96743,0.93842,0.97899,0.75611,0.78798,0.74545,1.07573,0.00133693,0.00133693,0.00133693
18,45.2904,0.74079,0.69215,1.04251,0.9647,0.92766,0.97126,0.74902,0.76802,0.72441,1.05888,0.0013163,0.0013163,0.0013163
19,47.5725,0.71561,0.65775,1.02313,0.97071,0.93327,0.95706,0.75828,0.74723,0.71328,1.03555,0.00129568,0.00129568,0.00129568
20,49.7963,0.74059,0.63571,1.04232,0.96873,0.94917,0.98029,0.76421,0.7608,0.66329,1.02393,0.00127505,0.00127505,0.00127505
21,52.0791,0.73236,0.61805,1.01646,0.97215,0.93842,0.99078,0.76675,0.82046,0.65713,1.05922,0.00125442,0.00125442,0.00125442
22,54.3627,0.76873,0.62353,1.03747,0.9686,0.99352,0.9933,0.77156,0.78097,0.63435,1.0553,0.00123379,0.00123379,0.00123379
23,57.3946,0.70189,0.59894,1.01545,0.97672,0.94138,0.99066,0.80162,0.70539,0.56575,1.00279,0.00121316,0.00121316,0.00121316
24,59.6085,0.69893,0.57403,0.98763,0.97392,0.94594,0.9758,0.78785,0.71487,0.56972,1.00425,0.00119253,0.00119253,0.00119253
25,61.8234,0.70422,0.55494,0.98905,0.99867,0.98387,0.99411,0.81427,0.74198,0.55165,1.00271,0.0011719,0.0011719,0.0011719
26,64.0603,0.69684,0.56312,0.98887,0.96995,0.98981,0.99292,0.79459,0.72848,0.55445,0.9968,0.00115127,0.00115127,0.00115127
27,66.6475,0.65571,0.51544,0.99199,0.97773,0.99241,0.99238,0.81867,0.67364,0.48666,0.97983,0.00113064,0.00113064,0.00113064
28,69.7058,0.65587,0.49014,0.98765,0.98853,0.98736,0.99385,0.80286,0.67797,0.49415,0.98975,0.00111001,0.00111001,0.00111001
29,72.6269,0.64968,0.49893,0.96814,0.99438,0.97312,0.99306,0.81099,0.65737,0.51671,0.98055,0.00108938,0.00108938,0.00108938
30,75.4334,0.67121,0.51057,0.97941,0.97425,0.98962,0.99385,0.80021,0.69681,0.51519,0.98194,0.00106876,0.00106876,0.00106876
31,78.2616,0.65047,0.48935,0.96796,0.99398,0.99123,0.9946,0.81668,0.71778,0.5023,0.98932,0.00104813,0.00104813,0.00104813
32,81.071,0.63868,0.47293,0.96128,0.97674,0.99123,0.99248,0.80128,0.71641,0.51325,0.99064,0.0010275,0.0010275,0.0010275
33,83.8392,0.64959,0.4871,0.95689,0.98679,0.98925,0.98913,0.81523,0.70363,0.48792,0.96832,0.00100687,0.00100687,0.00100687
34,86.6115,0.62968,0.46254,0.96653,0.99352,0.98723,0.99334,0.79769,0.70875,0.47135,0.99057,0.000986239,0.000986239,0.000986239
35,89.3231,0.6205,0.47079,0.96302,0.98265,0.99796,0.99479,0.8071,0.70428,0.44415,0.99362,0.00096561,0.00096561,0.00096561
36,92.1666,0.62091,0.45408,0.96976,0.95944,0.97573,0.99468,0.81029,0.6773,0.44766,0.98715,0.000944981,0.000944981,0.000944981
37,94.9122,0.60676,0.44534,0.96066,0.992,0.99662,0.99495,0.80393,0.67603,0.46496,0.98703,0.000924352,0.000924352,0.000924352
38,97.9399,0.59005,0.44247,0.94369,0.98757,0.99462,0.99468,0.81012,0.69425,0.45485,0.98578,0.000903722,0.000903722,0.000903722
39,100.787,0.58411,0.43924,0.94034,0.98991,0.98387,0.99459,0.81471,0.67868,0.44095,0.98921,0.000883093,0.000883093,0.000883093
