epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0246,2.6019,3.10329,2.80431,0.04821,0.09091,0.01252,0.00381,2.65185,3.89178,3.58858,0.000533333,0.000533333,0.000533333
2,18.784,2.65754,3.14408,2.87114,0.04152,0.04545,0.01322,0.00419,2.65416,3.80074,3.64028,0.00118515,0.00118515,0.00118515
3,27.1279,2.60356,3.09678,2.80658,0.04853,0.04545,0.01578,0.00539,2.65204,3.72304,3.66146,0.00182047,0.00182047,0.00182047
4,47.5586,2.62165,3.17816,2.86109,0.04842,0.04545,0.01576,0.00479,2.6535,3.72008,3.65565,0.00192575,0.00192575,0.00192575
5,68.1351,2.64221,3.20111,2.92563,0.04842,0.04545,0.01576,0.00479,2.6535,3.72008,3.65565,0.001901,0.001901,0.001901
6,88.5557,2.56639,3.25743,2.78547,0.04842,0.04545,0.01576,0.00479,2.6535,3.72008,3.65565,0.00187625,0.00187625,0.00187625
7,98.5655,2.54526,3.30048,2.76328,0.05125,0.04545,0.0154,0.00532,2.64554,3.58896,3.60539,0.0018515,0.0018515,0.0018515
8,117.488,2.73297,3.07641,2.91893,0.05019,0.04545,0.01451,0.00496,2.64456,3.58959,3.60401,0.00182675,0.00182675,0.00182675
9,134.696,2.62462,3.28732,2.87036,0.05019,0.04545,0.01451,0.00496,2.64456,3.58959,3.60401,0.001802,0.001802,0.001802
10,154.865,2.67691,2.97793,2.98696,0.05019,0.04545,0.01451,0.00496,2.64456,3.58959,3.60401,0.00177725,0.00177725,0.00177725
11,160.457,2.72993,3.12679,2.96973,0.057,0.09091,0.01551,0.00548,2.62346,3.53128,3.49743,0.0017525,0.0017525,0.0017525
12,174.849,2.74787,3.18704,3.02187,0.05714,0.09091,0.01554,0.00548,2.62465,3.52884,3.48514,0.00172775,0.00172775,0.00172775
13,188.981,2.5186,3.14428,2.77226,0.05714,0.09091,0.01554,0.00548,2.62465,3.52884,3.48514,0.001703,0.001703,0.001703
14,204.047,2.58126,3.06913,2.82746,0.05714,0.09091,0.01554,0.00548,2.62465,3.52884,3.48514,0.00167825,0.00167825,0.00167825
15,211.735,2.71905,3.17288,2.90795,0.04085,0.13636,0.01836,0.00639,2.64212,3.49467,3.45745,0.0016535,0.0016535,0.0016535
16,229.044,2.72443,3.34173,3.04758,0.04087,0.13636,0.01827,0.00637,2.64137,3.49354,3.46149,0.00162875,0.00162875,0.00162875
17,243.561,2.64681,3.15566,2.90212,0.04087,0.13636,0.01827,0.00637,2.64137,3.49354,3.46149,0.001604,0.001604,0.001604
18,258.146,2.47928,3.06036,2.71061,0.04087,0.13636,0.01827,0.00637,2.64137,3.49354,3.46149,0.00157925,0.00157925,0.00157925
19,265.234,2.62488,3.12218,2.89191,0.18535,0.04545,0.03675,0.00997,2.62774,3.53184,3.43087,0.0015545,0.0015545,0.0015545
20,286.294,2.64444,3.23756,2.99745,0.18491,0.04545,0.03676,0.00997,2.62633,3.53076,3.43424,0.00152975,0.00152975,0.00152975
21,312.039,2.6288,3.21456,2.78131,0.18491,0.04545,0.03676,0.00997,2.62633,3.53076,3.43424,0.001505,0.001505,0.001505
22,327.505,2.60904,3.07849,2.79496,0.18491,0.04545,0.03676,0.00997,2.62633,3.53076,3.43424,0.00148025,0.00148025,0.00148025
23,335.104,2.80118,3.21547,2.94528,0.00927,0.63636,0.03406,0.01074,2.5999,3.56349,3.41442,0.0014555,0.0014555,0.0014555
24,351.099,2.58794,3.31336,2.82113,0.00928,0.63636,0.0343,0.01075,2.60011,3.56133,3.41394,0.00143075,0.00143075,0.00143075
